# Table S2: A full list of the 310 epigenetic and small RNA factors that were examined in this study and their regulation in HSF-1High and HSF-1Low worms.
...1,UP_in_HSF-1High,DOWN_in_HSF-1High,UP_in_HSF-1Low,DOWN_in_HSF-1Low,Input,Suggested Match,History
WBGene00017313,No,No,No,No,WBGene00017313,WBGene00017313,History: N.A.
WBGene00017445,Yes,No,No,No,WBGene00017445,WBGene00017445,History: N.A.
WBGene00017482,No,No,Yes,No,WBGene00017482,WBGene00017482,History: N.A.
WBGene00017549,No,No,No,No,WBGene00017549,WBGene00017549,History: N.A.
WBGene00017571,No,No,No,No,WBGene00017571,WBGene00017571,History: Renamed on 2016-08-08
WBGene00017620,No,No,No,No,WBGene00017620,WBGene00017620,History: N.A.
WBGene00017641,No,Yes,No,No,WBGene00017641,WBGene00017641,History: N.A.
WBGene00017920,No,Yes,Yes,No,WBGene00017920,WBGene00017920,History: N.A.
WBGene00017990,No,Yes,No,No,WBGene00017990,WBGene00017990,History: N.A.
WBGene00017993,No,Yes,No,No,WBGene00017993,WBGene00017993,History: N.A.
WBGene00018023,No,No,No,No,WBGene00018023,WBGene00018023,History: N.A.
WBGene00018625,No,Yes,No,No,WBGene00018625,WBGene00018625,History: N.A.
WBGene00018812,No,No,Yes,No,WBGene00018812,WBGene00018812,"History: Merged into ""WBGene00018814"" on 2012-01-23; Resurrected on 2012-06-29"
WBGene00018857,No,No,No,No,WBGene00018857,WBGene00018857,History: N.A.
WBGene00018862,No,Yes,Yes,No,WBGene00018862,WBGene00018862,History: N.A.
WBGene00018921,No,No,Yes,No,WBGene00018921,WBGene00018921,History: Renamed on 2014-03-26
WBGene00018967,No,Yes,No,No,WBGene00018967,WBGene00018967,History: N.A.
WBGene00019013,No,No,No,No,WBGene00019013,WBGene00019013,History: N.A.
WBGene00019076,No,Yes,No,Yes,WBGene00019076,WBGene00019076,History: N.A.
WBGene00019077,No,Yes,Yes,No,WBGene00019077,WBGene00019077,History: N.A.
WBGene00019584,No,No,Yes,No,WBGene00019584,WBGene00019584,History: N.A.
WBGene00019628,No,Yes,Yes,No,WBGene00019628,WBGene00019628,History: N.A.
WBGene00019629,No,Yes,Yes,No,WBGene00019629,WBGene00019629,History: Renamed on 2007-05-15; Renamed on 2010-02-04
WBGene00019666,Yes,No,No,No,WBGene00019666,WBGene00019666,History: Renamed on 2011-10-14
WBGene00019690,No,No,No,No,WBGene00019690,WBGene00019690,History: N.A.
WBGene00019810,No,No,No,No,WBGene00019810,WBGene00019810,History: N.A.
WBGene00019862,No,No,No,No,WBGene00019862,WBGene00019862,History: Renamed on 2011-10-14
WBGene00019883,No,Yes,No,No,WBGene00019883,WBGene00019883,History: N.A.
WBGene00019947,No,Yes,No,No,WBGene00019947,WBGene00019947,History: N.A.
WBGene00019971,No,Yes,Yes,No,WBGene00019971,WBGene00019971,History: N.A.
WBGene00020006,No,No,No,Yes,WBGene00020006,WBGene00020006,"History: Split into R11E3.19(WBGene00235374). History of WBGene00020006: Split into ""WBGene00235374"" on 2013-09-27"
WBGene00020204,No,No,No,No,WBGene00020204,WBGene00020204,History: N.A.
WBGene00020286,No,Yes,No,No,WBGene00020286,WBGene00020286,History: N.A.
WBGene00020296,No,Yes,No,No,WBGene00020296,WBGene00020296,History: Renamed on 2018-12-11; Renamed on 2019-07-02
WBGene00020403,No,Yes,No,No,WBGene00020403,WBGene00020403,History: N.A.
WBGene00020463,No,Yes,Yes,No,WBGene00020463,WBGene00020463,History: N.A.
WBGene00020558,No,Yes,Yes,No,WBGene00020558,WBGene00020558,History: N.A.
WBGene00020687,No,Yes,No,No,WBGene00020687,WBGene00020687,History: N.A.
WBGene00020707,No,No,No,No,WBGene00020707,WBGene00020707,History: N.A.
WBGene00020716,No,Yes,No,Yes,WBGene00020716,WBGene00020716,History: N.A.
WBGene00020902,No,No,Yes,No,WBGene00020902,WBGene00020902,History: N.A.
WBGene00020919,No,Yes,No,No,WBGene00020919,WBGene00020919,History: N.A.
WBGene00020920,No,Yes,No,No,WBGene00020920,WBGene00020920,History: N.A.
WBGene00021047,No,No,No,No,WBGene00021047,WBGene00021047,History: N.A.
WBGene00021061,No,Yes,No,No,WBGene00021061,WBGene00021061,History: N.A.
WBGene00021103,No,Yes,Yes,No,WBGene00021103,WBGene00021103,History: Renamed on 2016-05-03
WBGene00021282,No,No,Yes,No,WBGene00021282,WBGene00021282,History: N.A.
WBGene00021391,No,Yes,No,No,WBGene00021391,WBGene00021391,History: N.A.
WBGene00021419,No,No,Yes,No,WBGene00021419,WBGene00021419,History: N.A.
WBGene00021515,No,Yes,No,No,WBGene00021515,WBGene00021515,History: N.A.
WBGene00021634,No,Yes,No,No,WBGene00021634,WBGene00021634,History: N.A.
WBGene00021711,No,No,No,No,WBGene00021711,WBGene00021711,History: N.A.
