# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Stable (1020),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00004765,,,,WBGene00004765,WBGene00004765,History: N.A.
WBGene00004766,,,,WBGene00004766,WBGene00004766,History: Renamed on 2019-01-09
WBGene00004774,,,,WBGene00004774,WBGene00004774,History: N.A.
WBGene00004788,,,,WBGene00004788,WBGene00004788,History: N.A.
WBGene00004800,,,,WBGene00004800,WBGene00004800,History: N.A.
WBGene00004801,,,,WBGene00004801,WBGene00004801,History: N.A.
WBGene00004806,,,,WBGene00004806,WBGene00004806,History: N.A.
WBGene00004858,,,,WBGene00004858,WBGene00004858,History: N.A.
WBGene00004874,,,,WBGene00004874,WBGene00004874,History: N.A.
WBGene00004879,,,,WBGene00004879,WBGene00004879,History: N.A.
WBGene00004881,,,,WBGene00004881,WBGene00004881,History: N.A.
WBGene00004895,,,,WBGene00004895,WBGene00004895,History: N.A.
WBGene00004900,,,,WBGene00004900,WBGene00004900,History: Renamed on 2010-09-28
WBGene00004916,,,,WBGene00004916,WBGene00004916,History: N.A.
WBGene00004960,,,,WBGene00004960,WBGene00004960,History: N.A.
WBGene00004980,,,,WBGene00004980,WBGene00004980,History: N.A.
WBGene00005010,,,,WBGene00005010,WBGene00005010,History: N.A.
WBGene00005528,,,,WBGene00005528,WBGene00005528,History: N.A.
WBGene00005529,,,,WBGene00005529,WBGene00005529,History: N.A.
WBGene00005663,,,,WBGene00005663,WBGene00005663,History: Renamed on 2010-01-29
WBGene00006066,,,,WBGene00006066,WBGene00006066,History: N.A.
WBGene00006307,,,,WBGene00006307,WBGene00006307,History: N.A.
WBGene00006368,,,,WBGene00006368,WBGene00006368,History: N.A.
WBGene00006369,,,,WBGene00006369,WBGene00006369,History: N.A.
WBGene00006381,,,,WBGene00006381,WBGene00006381,History: N.A.
